sl_no,district,land_class,soil_texture,ph,ec,om,n,pb,po,k,s,zn,b,ca,mg,cu,mn
4,Ramgati,Medium high land,Loam,8,1.63,0.95,0.06,18.19,,0.07,20.3,0.09,0.35,7.06,1.83,0.7,1.08
5,Rangamati,Medium high land,Loam,6.5,1.25,1.31,0.08,0,2.64,0.07,12.01,0.14,0.32,4.22,2.65,1.34,1.57
27,Rangamati,Medium high land,Loam,6.8,5.59,1.34,0.08,4.78,,0.07,94.54,0.16,0.32,6.58,2.28,0.89,1.12
29,Rangamati,Medium high land,Loam,5.4,1.67,1.94,0.11,,4.13,0.09,16.8,0.16,0.35,2.5,2.1,1.72,2.01
44,Rangamati,Medium high land,Loam,6.3,0.99,1.35,0.08,,2.19,0.08,20.32,0.15,0.39,4,2.61,1.29,2.45
52,Rangamati,Medium high land,Loam,5.6,1.28,1.66,0.1,,2.45,0.1,10.88,0.24,0.24,4.72,2.3,1.45,2.53
71,Rangamati,Medium high land,Loam,5.4,1.04,2.07,0.12,,2.45,0.28,56.14,0.39,0.39,6.81,3.38,3.81,34.56
76,Rangamati,Medium high land,Loam,5.3,1.56,2.46,0.14,,2.32,0.26,53.53,0.47,0.28,6.75,3.4,3.8,39.49
37,Jhalokathi,Medium high land,Clay loam,5.7,4.82,2.26,0.13,,1.93,0.19,59.76,0.22,0.53,7.97,4.1,2.11,3.28
45,Jhalokathi,Medium high land,Clay loam,6,10.26,1.92,0.11,,3.85,0.52,70.44,0.18,0.4,10.33,4.57,1.84,1.62
47,Jhalokathi,Medium high land,Clay loam,5,1.7,2.08,0.12,,3.12,0.23,23.63,2.88,0.26,3.7,2.72,2.7,9.63
50,Jhalokathi,Medium high land,Clay loam,5.5,1.3,1.61,0.093,,3.26,0.14,16.36,0.15,0.31,3.78,3.08,2.07,5.83
54,Jhalokathi,Medium high land,Clay loam,6.2,1.19,1.76,0.1,,2.15,0.13,27.55,0.15,0.38,6.09,3.17,2.18,1.27
61,Jhalokathi,Medium high land,Clay loam,6.2,1.02,1.76,0.1,,2.49,0.18,25.71,0.2,0.31,7.43,3.65,2.84,2.9
77,Jhalokathi,Medium high land,Clay loam,5.8,1.8,1.99,0.12,,2.42,0.13,24.8,0.09,0.22,6.05,3.32,2.44,2.56
